wavelength_nm,transmission
1.591173950299914395e+03,1.646499484748732423e-01
1.591657156291786578e+03,1.642425694040179907e-01
1.592140655851759675e+03,1.638300995988054842e-01
1.592624449247447728e+03,1.634127734788086705e-01
1.593108536746790151e+03,1.629908275003710827e-01
1.593592918618051726e+03,1.625645000858281508e-01
1.594077595129823976e+03,1.621340315564543388e-01
1.594562566551025384e+03,1.616996640678340647e-01
1.595047833150901624e+03,1.612616415464020736e-01
1.595533395199026018e+03,1.608202096259019886e-01
1.596019252965300666e+03,1.603756155824816731e-01
1.596505406719956000e+03,1.599281082672182608e-01
1.596991856733552368e+03,1.594779380348564091e-01
1.597478603276980039e+03,1.590253566676846364e-01
1.597965646621458745e+03,1.585706172934022717e-01
1.598452987038540186e+03,1.581139742960564754e-01
1.598940624800106434e+03,1.576556832191093604e-01
1.599428560178371981e+03,1.571960006597324100e-01
1.599916793445883968e+03,1.567351841538748014e-01
1.600405324875521501e+03,1.562734920510862602e-01
1.600894154740498379e+03,1.558111833790189471e-01
1.601383283314360597e+03,1.553485176969399972e-01
1.601872710870990431e+03,1.548857549381772725e-01
1.602362437684603947e+03,1.544231552412840269e-01
1.602852464029752809e+03,1.539609787699672550e-01
1.603342790181324744e+03,1.534994855219144194e-01
1.603833416414543990e+03,1.530389351267912312e-01
1.604324343004971752e+03,1.525795866337721907e-01
1.604815570228506431e+03,1.521216982891379632e-01
1.605307098361384760e+03,1.516655273046089436e-01
1.605798927680181805e+03,1.512113296170676802e-01
1.606291058461812099e+03,1.507593596406488490e-01
1.606783490983529646e+03,1.503098700121140996e-01
1.607276225522927689e+03,1.498631113304562945e-01
1.607769262357941216e+03,1.494193318920260805e-01
1.608262601766845819e+03,1.489787774223338412e-01
1.608756244028258607e+03,1.485416908057054231e-01
1.609250189421139112e+03,1.481083118143013966e-01
1.609744438224789519e+03,1.476788768376842143e-01
1.610238990718855348e+03,1.472536186144058623e-01
1.610733847183325452e+03,1.468327659670392860e-01
1.611229007898533837e+03,1.464165435420256844e-01
1.611724473145158527e+03,1.460051715557690311e-01
1.612220243204223152e+03,1.455988655483052008e-01
1.612716318357097180e+03,1.451978361459658196e-01
1.613212698885496593e+03,1.448022888342822556e-01
1.613709385071484348e+03,1.444124237423502211e-01
1.614206377197470829e+03,1.440284354398713718e-01
1.614703675546214072e+03,1.436505127479202892e-01
1.615201280400821133e+03,1.432788385644415408e-01
1.615699192044748315e+03,1.429135897053354365e-01
1.616197410761800938e+03,1.425549367619784735e-01
1.616695936836135161e+03,1.422030439757057119e-01
1.617194770552257296e+03,1.418580691299843322e-01
1.617693912195024950e+03,1.415201634604669190e-01
1.618193362049647931e+03,1.411894715832737179e-01
1.618693120401687793e+03,1.408661314417605503e-01
1.619193187537059657e+03,1.405502742714752340e-01
1.619693563742031301e+03,1.402420245833778667e-01
1.620194249303225433e+03,1.399415001648973145e-01
1.620695244507618327e+03,1.396488120984507308e-01
1.621196549642541868e+03,1.393640647967337720e-01
1.621698164995683328e+03,1.390873560542024712e-01
1.622200090855086273e+03,1.388187771137479598e-01
1.622702327509150791e+03,1.385584127477403893e-01
1.623204875246634629e+03,1.383063413522440388e-01
1.623707734356652963e+03,1.380626350532926927e-01
1.624210905128679315e+03,1.378273598238387299e-01
1.624714387852546679e+03,1.376005756102482436e-01
1.625218182818446849e+03,1.373823364665373858e-01
1.625722290316932231e+03,1.371726906952508429e-01
1.626226710638915392e+03,1.369716809931659229e-01
1.626731444075670424e+03,1.367793446004159919e-01
1.627236490918832942e+03,1.365957134514333426e-01
1.627741851460400767e+03,1.364208143260003114e-01
1.628247525992734836e+03,1.362546689991612769e-01
1.628753514808558975e+03,1.360972943881643971e-01
1.629259818200961490e+03,1.359487026951148869e-01
1.629766436463395621e+03,1.358089015439405134e-01
1.630273369889678861e+03,1.356778941103202185e-01
1.630780618773994547e+03,1.355556792433509905e-01
1.631288183410892543e+03,1.354422515778326008e-01
1.631796064095289466e+03,1.353376016361760859e-01
1.632304261122469143e+03,1.352417159190545670e-01
1.632812774788083516e+03,1.351545769841663025e-01
1.633321605388153330e+03,1.350761635123879090e-01
